REF_DATE;GEO;DGUID;Type;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2018;Canada;2016A000011124;Protected a laptop or computer ;Percent;239;units;0;v1074280790;1.1;80.2;A;;;1
2018;Canada;2016A000011124;Enable automatic updates on your operating systems;Percent;239;units;0;v1074280791;1.2;54.6;A;;;1
2018;Canada;2016A000011124;Manually update your operating systems on a regular basis ;Percent;239;units;0;v1074280792;1.3;32.6;A;;;1
2018;Canada;2016A000011124;Use additional cyber security measures beyond the default software ;Percent;239;units;0;v1074280793;1.4;46.0;A;;;1
2018;Canada;2016A000011124;Protected a mobile device ;Percent;239;units;0;v1074280794;1.5;74.4;A;;;1
2018;Canada;2016A000011124;Enable automatic updates on your operating systems ;Percent;239;units;0;v1074280795;1.6;51.2;A;;;1
2018;Canada;2016A000011124;Manually update your operating systems on a regular basis ;Percent;239;units;0;v1074280796;1.7;35.8;A;;;1
2018;Canada;2016A000011124;Use additional cyber security measures beyond the default software;Percent;239;units;0;v1074280797;1.8;15.7;A;;;1
2018;Atlantic provinces;2016A00011;Protected a laptop or computer ;Percent;239;units;0;v1074280798;2.1;76.1;A;;;1
2018;Atlantic provinces;2016A00011;Enable automatic updates on your operating systems;Percent;239;units;0;v1074280799;2.2;51.4;A;;;1
2018;Atlantic provinces;2016A00011;Manually update your operating systems on a regular basis ;Percent;239;units;0;v1074280800;2.3;32.7;A;;;1
2018;Atlantic provinces;2016A00011;Use additional cyber security measures beyond the default software ;Percent;239;units;0;v1074280801;2.4;42.4;A;;;1
2018;Atlantic provinces;2016A00011;Protected a mobile device ;Percent;239;units;0;v1074280802;2.5;67.8;A;;;1
2018;Atlantic provinces;2016A00011;Enable automatic updates on your operating systems ;Percent;239;units;0;v1074280803;2.6;45.4;A;;;1
2018;Atlantic provinces;2016A00011;Manually update your operating systems on a regular basis ;Percent;239;units;0;v1074280804;2.7;34.6;A;;;1
2018;Atlantic provinces;2016A00011;Use additional cyber security measures beyond the default software;Percent;239;units;0;v1074280805;2.8;13.1;A;;;1
